station_id,latitude (degrees north),longitude (degrees east),date_time,air_temperature (C°),sea_level_pressure (hPa),wind_speed (m/s),gust_speed (m/s),significant_wave_height (m),dominant_wave_period (s),sea_surface_temperature (C°),wind_speed_cwind (m/s)
2868187,47.34899902,-124.7080002,2013-04-21 09:50:00+00:00,7.699999809,1025.400024,5.0,6.0,1.200000048,7.0,9.600000381,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 10:50:00+00:00,7.400000095,1025.0,4.0,5.0,1.100000024,7.0,9.600000381,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 12:50:00+00:00,8.199999809,1024.699951,4.0,5.0,1.100000024,8.0,9.5,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 13:50:00+00:00,8.300000191,1024.800049,4.0,5.0,1.100000024,8.0,9.600000381,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 14:50:00+00:00,8.399999619,1024.900024,5.0,6.0,1.100000024,7.0,9.600000381,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 15:50:00+00:00,8.600000381,1025.0,3.0,4.0,1.0,11.0,9.600000381,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 16:50:00+00:00,7.5,1024.900024,4.0,5.0,1.0,8.0,9.600000381,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 17:50:00+00:00,8.199999809,1025.0,4.0,5.0,1.0,8.0,9.600000381,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 18:50:00+00:00,8.399999619,1025.5,5.0,7.0,1.0,7.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 19:50:00+00:00,8.600000381,1025.5,6.0,7.0,1.0,8.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 20:50:00+00:00,8.800000191,1025.699951,7.0,8.0,1.0,11.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 21:50:00+00:00,8.899999619,1025.900024,6.0,7.0,1.0,11.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 22:50:00+00:00,9.0,1026.0,6.0,7.0,1.0,7.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-21 23:50:00+00:00,9.0,1025.900024,7.0,8.0,1.0,7.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 00:50:00+00:00,8.899999619,1026.0,7.0,8.0,1.100000024,7.0,10.0,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 01:50:00+00:00,8.800000191,1026.300049,7.0,9.0,1.0,7.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 02:50:00+00:00,9.0,1026.300049,7.0,8.0,1.100000024,7.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 03:50:00+00:00,9.0,1026.599976,6.0,7.0,1.100000024,5.0,10.10000038,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 04:50:00+00:00,9.0,1027.199951,6.0,7.0,1.0,7.0,10.0,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 05:50:00+00:00,8.899999619,1027.199951,7.0,8.0,0.899999976,7.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 06:50:00+00:00,9.0,1027.699951,7.0,8.0,0.899999976,7.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 07:50:00+00:00,9.0,1028.300049,7.0,8.0,0.899999976,7.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 08:50:00+00:00,8.199999809,1029.099976,5.0,6.0,0.899999976,11.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 09:50:00+00:00,7.699999809,1029.599976,5.0,6.0,0.899999976,11.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 10:50:00+00:00,7.900000095,1030.099976,6.0,6.0,0.800000012,11.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 11:50:00+00:00,7.800000191,1030.5,6.0,7.0,0.899999976,11.0,9.699999809,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 12:50:00+00:00,7.5,1031.0,6.0,6.0,0.899999976,7.0,9.699999809,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 13:50:00+00:00,7.599999905,1031.699951,5.0,5.0,1.0,6.0,9.699999809,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 14:50:00+00:00,7.599999905,1032.099976,4.0,5.0,0.899999976,7.0,9.699999809,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 15:50:00+00:00,7.900000095,1032.400024,1.0,2.0,0.899999976,6.0,9.699999809,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 16:50:00+00:00,8.100000381,1032.400024,1.0,1.0,0.800000012,7.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 17:50:00+00:00,8.5,1032.800049,0.0,0.0,0.800000012,10.0,10.30000019,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 18:50:00+00:00,8.399999619,1033.0,1.0,1.0,0.899999976,6.0,11.10000038,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 19:50:00+00:00,8.800000191,1032.900024,0.0,1.0,0.800000012,6.0,11.80000019,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 20:50:00+00:00,9.399999619,1032.599976,2.0,3.0,0.800000012,7.0,12.5,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 21:50:00+00:00,10.0,1032.300049,3.0,4.0,0.800000012,10.0,12.10000038,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 22:50:00+00:00,10.10000038,1032.199951,5.0,6.0,0.699999988,7.0,11.10000038,4.800000191
2868187,47.34899902,-124.7080002,2013-04-22 23:50:00+00:00,10.80000019,1031.699951,5.0,6.0,0.699999988,6.0,10.69999981,4.800000191
2868187,47.34899902,-124.7080002,2013-04-23 00:50:00+00:00,10.89999962,1031.099976,7.0,9.0,0.699999988,6.0,10.60000038,4.800000191
2868187,47.34899902,-124.7080002,2013-04-23 01:50:00+00:00,10.39999962,1031.0,9.0,11.0,0.800000012,7.0,10.39999962,4.800000191
2868187,47.34899902,-124.7080002,2013-04-23 02:50:00+00:00,10.19999981,1030.699951,10.0,11.0,1.0,9.0,10.0,4.800000191
2868187,47.34899902,-124.7080002,2013-04-23 03:50:00+00:00,10.19999981,1030.599976,9.0,11.0,1.200000048,4.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-23 04:50:00+00:00,10.0,1030.5,9.0,11.0,1.100000024,4.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-23 05:50:00+00:00,9.800000191,1030.599976,8.0,10.0,1.100000024,4.0,9.699999809,4.800000191
2868187,47.34899902,-124.7080002,2013-04-23 06:50:00+00:00,9.699999809,1030.300049,9.0,10.0,1.100000024,9.0,9.800000191,4.800000191
2868187,47.34899902,-124.7080002,2013-04-23 07:50:00+00:00,9.600000381,1029.900024,9.0,11.0,1.100000024,4.0,9.899999619,4.800000191
2868187,47.34899902,-124.7080002,2013-04-23 08:50:00+00:00,9.600000381,1029.699951,6.0,7.0,1.0,9.0,10.0,4.800000191
2868187,47.34899902,-124.7080002,2013-04-23 09:50:00+00:00,9.5,1029.199951,5.0,6.0,0.800000012,8.0,10.19999981,4.800000191
2868187,47.34899902,-124.7080002,2013-04-23 10:50:00+00:00,9.5,1029.0,3.0,4.0,0.800000012,9.0,10.10000038,4.800000191
